"filename", "language", "YAML", "Markdown", "JSON", "HTML", "Groovy", "Dart", "C++", "Properties", "Swift", "XML", "comment", "blank", "total"
"d:\flutter_projects\main\youtube-flutter-clone\.github\workflows\ci.yml", "YAML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 37
"d:\flutter_projects\main\youtube-flutter-clone\.github\workflows\firebase-hosting-merge.yml", "YAML", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 19
"d:\flutter_projects\main\youtube-flutter-clone\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 17
"d:\flutter_projects\main\youtube-flutter-clone\.github\workflows\releases.yml", "YAML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 36
"d:\flutter_projects\main\youtube-flutter-clone\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\flutter_projects\main\youtube-flutter-clone\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\flutter_projects\main\youtube-flutter-clone\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 5, 13, 72
"d:\flutter_projects\main\youtube-flutter-clone\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 3, 41
"d:\flutter_projects\main\youtube-flutter-clone\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\flutter_projects\main\youtube-flutter-clone\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\flutter_projects\main\youtube-flutter-clone\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\flutter_projects\main\youtube-flutter-clone\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\flutter_projects\main\youtube-flutter-clone\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 9
"d:\flutter_projects\main\youtube-flutter-clone\android\build.gradle", "Groovy", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\flutter_projects\main\youtube-flutter-clone\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
